year,month,day,hour,minute,second,event
1991,5,13,9,52,37,296
1991,5,13,23,25,8,1220
1991,5,13,23,41,15,954
1991,5,14,9,7,41,1704
1991,5,14,21,18,4,1796
1991,5,14,22,54,50,654
1991,5,14,23,22,45,473
1991,5,15,9,51,25,407
1991,5,15,10,8,2,1284
1991,5,15,20,49,22,626
1991,5,15,22,57,21,7465
1991,5,15,22,59,29,865
1991,5,16,6,36,21,262
1991,5,16,6,49,2,198404
1991,5,16,12,39,17,336
1991,5,16,21,41,36,672
1991,5,16,22,8,51,4259
1991,5,16,22,10,26,582
1991,5,17,1,2,17,1382
1991,5,17,2,55,41,1421
1991,5,17,4,19,32,8372
1991,5,17,9,3,53,169768
1991,5,17,9,58,11,537
1991,5,17,10,13,54,695
1991,5,17,11,38,49,4922
1991,5,17,13,41,33,16110
1991,5,17,15,22,27,2182
1991,5,17,17,54,46,1818
1991,5,17,18,12,50,1780
1991,5,17,18,20,37,2497
1991,5,17,21,4,11,2743
1991,5,17,21,6,34,1444
1991,5,17,21,10,25,582
1991,5,17,22,51,3,360
1991,5,17,22,55,56,850
1991,5,17,23,5,13,1376
1991,5,17,23,58,16,755
1991,5,18,0,24,13,2033
1991,5,18,0,30,24,1281
1991,5,18,1,41,17,3541
1991,5,18,1,53,2,412
1991,5,18,3,13,8,1133
1991,5,18,3,47,7,1267
1991,5,18,5,12,46,355337
1991,5,18,6,19,36,705
1991,5,18,6,30,16,2164
1991,5,18,6,36,49,5291
1991,5,18,6,41,15,660
1991,5,18,8,8,52,13155
1991,5,18,9,23,12,2238
1991,5,18,20,52,6,1629
1991,5,19,13,47,48,1083
1991,5,21,9,44,40,2615
1991,5,21,9,51,33,20550
1991,5,21,16,50,15,1922
1991,5,22,5,29,17,234
1991,5,22,19,19,8,1008
1991,5,23,6,8,20,289
1991,5,23,7,1,12,1060
1991,5,24,3,8,23,10938
1991,5,24,3,12,57,358
1991,5,24,13,21,51,2360
1991,5,25,14,12,9,921
1991,5,25,17,44,40,1364
1991,5,25,19,2,24,1052
1991,5,25,19,30,13,520
1991,5,26,8,52,58,533
1991,5,26,13,34,20,1051
1991,5,26,18,31,58,306
1991,5,26,18,34,53,447
1991,5,26,20,27,23,4094
1991,5,27,2,1,20,1401
1991,5,27,2,12,53,335
1991,5,27,3,43,21,291
1991,5,27,5,37,29,4385
1991,5,27,6,2,13,1467
1991,5,27,6,40,54,521
1991,5,27,8,28,26,969
1991,5,27,9,57,25,972
1991,5,27,10,7,20,899
1991,5,27,13,7,12,537
1991,5,27,13,8,29,7387
1991,5,27,15,25,16,2873
1991,5,27,16,19,59,609
1991,5,27,17,58,11,3341
1991,5,27,18,6,42,1236
1991,5,27,21,1,35,3190
1991,5,27,21,9,57,1268
1991,5,27,22,54,54,3449
1991,5,27,23,6,58,800
1991,5,28,1,52,44,2140
1991,5,28,3,4,40,959
1991,5,28,3,32,35,1708
1991,5,28,5,23,14,1046
1991,5,28,6,40,55,461
1991,5,28,6,55,18,739
1991,5,28,6,59,26,2877
1991,5,28,7,57,23,28815
1991,5,28,9,9,56,2668
1991,5,28,9,50,43,4637
1991,5,28,12,25,6,1210
1991,5,28,13,11,4,8011
1991,5,28,18,31,11,6853
1991,5,28,20,10,32,638
1991,5,28,20,21,8,981
1991,5,28,22,7,2,7329
1991,5,29,0,59,47,471
1991,5,29,2,59,32,4322
1991,5,29,4,47,25,2381
1991,5,29,7,12,45,1435
1991,5,29,12,9,13,86614
1991,5,29,13,11,12,4999
1991,5,29,19,46,58,4907
1991,5,30,3,41,39,56669
1991,5,30,5,27,57,676
1991,5,30,7,12,48,944
1991,5,30,8,37,37,749
1991,5,30,9,37,36,507599
1991,5,30,17,40,48,3645
1991,5,30,19,12,47,501
1991,5,30,19,17,16,875
1991,5,30,22,3,14,457
1991,5,30,22,8,56,10872
1991,5,30,23,59,32,763
1991,5,31,1,36,3,315
1991,5,31,1,46,13,616
1991,5,31,2,43,2,37359
1991,5,31,4,10,29,4446
1991,5,31,5,5,2,25707
1991,5,31,9,26,38,685
1991,5,31,10,42,55,398
1991,5,31,16,54,43,827347
1991,5,31,18,40,43,831
1991,5,31,23,10,34,3420
1991,6,1,2,23,25,364
1991,6,1,2,48,37,1638
1991,6,1,2,51,13,33864
1991,6,1,3,32,25,1058
1991,6,1,4,0,11,83833
1991,6,1,4,13,39,5344
1991,6,1,4,23,55,513
1991,6,1,6,38,40,450
1991,6,1,7,20,13,820
1991,6,1,14,22,11,652
1991,6,1,14,38,47,616
1991,6,1,19,31,12,13476
1991,6,1,22,49,53,957
1991,6,2,0,32,13,12998
1991,6,2,5,8,0,890
1991,6,2,6,15,41,526
1991,6,2,6,22,23,3057
1991,6,2,6,27,44,1903
1991,6,2,6,37,57,1040
1991,6,2,7,41,22,94142
1991,6,2,10,43,58,1393
1991,6,2,11,21,38,711
1991,6,2,13,54,14,8323
1991,6,2,14,42,47,2197
1991,6,2,15,17,14,3319
1991,6,2,17,22,10,1067
1991,6,2,20,28,58,21271
1991,6,2,21,54,25,430
1991,6,2,23,24,4,14930
1991,6,3,2,16,20,874
1991,6,3,10,6,15,686
1991,6,3,19,54,21,479
1991,6,3,20,57,44,20753
1991,6,3,21,20,5,532
1991,6,3,22,46,12,282
1991,6,3,23,4,45,381
1991,6,4,1,50,52,1062
1991,6,4,2,0,59,676
1991,6,4,3,15,55,5257
1991,6,4,6,15,12,12649
1991,6,4,13,22,1,2990
1991,6,4,17,29,47,542
1991,6,4,20,20,7,4374
1991,6,4,22,27,18,3512
1991,6,4,22,41,24,932
1991,6,4,0,1,4,82506
1991,6,5,0,57,1,417
1991,6,5,1,4,3,1340
1991,6,5,1,52,43,2018
1991,6,5,1,57,23,18420
1991,6,5,2,45,5,290
1991,6,5,3,27,22,1653
1991,6,5,5,42,56,618
1991,6,5,10,57,29,551
1991,6,5,11,13,48,8782
1991,6,5,15,18,48,1405
1991,6,5,15,56,28,583
1991,6,5,16,31,1,7234
1991,6,5,21,16,42,2469
1991,6,5,23,30,22,4125
1991,6,6,0,48,49,513
1991,6,6,3,29,51,390
1991,6,6,4,26,37,429
1991,6,6,5,6,4,16401
1991,6,6,7,5,1,23468
1991,6,6,9,49,7,461
1991,6,6,16,49,36,721
1991,6,6,17,34,28,35544
1991,6,6,19,15,54,4612
1991,6,6,22,42,57,1403
1991,6,7,0,24,49,3578
1991,6,7,6,13,16,109672
1991,6,7,6,18,10,436
1991,6,7,6,35,12,4644
1991,6,7,9,57,54,420
1991,6,7,13,45,16,1268
1991,6,7,13,55,41,644
1991,6,7,15,29,40,2355
1991,6,7,23,37,39,398
1991,6,8,2,18,18,377
1991,6,8,2,27,10,852
1991,6,8,2,28,58,413
1991,6,8,2,43,13,1132
